연도,시도,입학자수,,전문대학,,교육대학,,일반대학,,방송통신대학,,산업대학,,기술대학,,각종학교,,원격및사이버대학,,사내대학,,전공대학,,기능대학,,대학원,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,계,,석사,,박사,
,,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여
2004,인천,22008,10435,12872,6907,660,404,6202,2198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2274,926,1968,850,306,76
2005,인천,21479,10059,12355,6504,510,328,6364,2259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250,968,1951,887,299,81
2006,인천,20533,9716,10508,5447,513,310,7014,2869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2498,1090,2191,1015,307,75
2007,인천,20516,9635,10560,5400,472,304,6850,2779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2634,1152,2283,1039,351,113
2008,인천,20428,9747,10291,5405,439,276,6822,2803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2876,1263,2461,1154,415,109
2009,인천,21107,10220,10285,5474,412,286,7215,3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3195,1398,2720,1262,475,136
2010,인천,18937,9439,7321,4307,376,283,8111,3426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3129,1423,2675,1276,454,147
2011,인천,20585,10049,7523,4419,697,497,8235,3526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982,127,3148,1480,2675,1339,473,141
2012,인천,19440,9205,7432,4333,645,469,7279,2868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038,104,3046,1431,2608,1282,438,149
2013,인천,19373,9205,7275,4231,652,488,7130,2899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1269,128,3047,1459,2568,1284,479,175
2014,인천,19740,9520,7669,4564,639,464,7072,2872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,143,3083,1477,2586,1308,497,169
2015,인천,19448,9490,7498,4484,646,459,7082,3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1291,117,2931,1429,2474,1259,457,170
2016,인천,19194,9453,7365,4370,659,527,6948,3035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,97,2942,1424,2451,1256,491,168
2017,인천,18806,9130,7188,4239,657,495,6800,2823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217,129,2944,1444,2502,1274,442,170
2018,인천,18948,9332,7440,4264,658,517,6965,3056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094,134,2791,1361,2337,1200,454,161
2019,인천,18783,9154,7418,4262,659,501,6970,2993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088,111,2648,1287,2199,1123,449,164
2020,인천,18969,9260,7418,4199,656,501,7044,3097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1074,80,2777,1383,2304,1204,473,179
2021,인천,18690,8861,6886,3805,657,487,7092,2953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1034,79,3021,1537,2560,1365,461,172
1999,광주,33559,15278,13754,6671,368,277,13026,5982,0,0,3035,1183,0,0,0,0,0,0,0,0,0,0,0,0,3376,1165,2911,1048,465,117
2000,광주,34673,16282,13855,6939,408,308,13137,6181,0,0,3288,1335,0,0,0,0,0,0,0,0,0,0,0,0,3985,1519,3398,1344,587,175
2001,광주,34781,16349,14069,6975,405,303,13104,6238,0,0,3235,1297,0,0,0,0,0,0,0,0,0,0,0,0,3968,1536,3379,1386,589,150
2002,광주,33308,16104,13211,6710,437,308,12765,6292,0,0,2682,1156,0,0,0,0,0,0,0,0,0,0,0,0,4213,1638,3528,1423,685,215
2003,광주,31241,15373,12065,6362,473,310,12761,6086,0,0,1774,819,0,0,0,0,0,0,0,0,0,0,0,0,4168,1796,3496,1581,672,215
2004,광주,30656,15197,11513,6194,536,328,14512,6835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4095,1840,3363,1597,732,243
2005,광주,30289,15126,10783,5755,534,320,14658,7116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4314,1935,3475,1646,839,289
2006,광주,30508,15512,11225,5995,540,311,14511,7218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4232,1988,3483,1744,749,244
2007,광주,31017,15877,10980,5960,497,302,15080,7459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4460,2156,3702,1896,758,260
2008,광주,30274,15577,10598,5765,471,285,14740,7374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4465,2153,3643,1804,822,349
2009,광주,30366,15501,10598,5704,463,266,14379,7144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4926,2387,4077,2048,849,339
2010,광주,31732,16242,11036,5872,437,258,15169,7639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5090,2473,4179,2081,911,392
2011,광주,32353,16365,10823,5649,403,252,15235,7823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,10,5479,2631,4433,2182,1046,449
2012,광주,30939,15362,8439,4257,357,230,16193,8193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,9,5518,2673,4418,2229,1100,444
2013,광주,30223,15250,8102,4216,355,219,15941,8172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,10,5394,2633,4347,2232,1047,401
2014,광주,30448,15209,8233,4104,355,218,15834,8133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,17,5560,2737,4440,2282,1120,455
